Name,City,State,Latitude,Longitude,Status
"MAHE, Manipal",Udupi,Karnataka,13.348,74.792,MoA in process
Swamy Eye Care and Chennai Glaucoma Foundation,Tiruvallur,Tamil Nadu,13.138,79.912,MoA in negotiation
"Mahatme Eye Hospital, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,10.821,78.678,MoA in negotiation
Rotary related centres - Tapassana Lab,Bengaluru,Karnataka,12.96,77.58,MoA in negotiation
JIPMER Puducherry,Puducherry,Puducherry,11.95,79.8,MoA in negotiation
"Prem's Eye Hospital, Trivandrum",Thiruvananthapuram,Kerala,8.48,76.94,MoA signed
"Bharati Eye Clinic, Ahmedabad",Ahmedabad,Gujarat,23.05,72.57,MoA signed
Apollo Institute of Medical Sciences,Chittoor,Andhra Pradesh,13.21,79.11,MoA in negotiation
Chamundeshwari Institute of Medical Sciences,Channapatna,Karnataka,12.65,77.21,MoA in negotiation
"Globe Eye Foundation, Hoskote",Hoskote,Karnataka,13.07,77.79,MoA in negotiation
"Zeiss ALOKA Screening Centre, Puducherry",Puducherry,Puducherry,11.95,79.8,MoA signed
"Zeiss ALOKA Screening Centre, Poreyhaat",Poreyhaat,Jharkhand,24.679,87.179,MoA signed
"Zeiss ALOKA Screening Centre, Silchar",Silchar,Assam,24.7758,92.795,MoA signed
"Zeiss ALOKA Screening Centre, Imphal",Imphal,Manipur,24.8055,93.935,MoA signed
MS Ramaiah (Hospital),Bengaluru,Karnataka,13.03,77.57,MoA in process
MS Ramaiah (Research),Bengaluru,Karnataka,13.03,77.57,MoA in process
Giridhar Eye Institute,Kochi,Kerala,10.02,76.31,MoA in negotiation
Indian Oil Corporation,Dispur,Assam,26.18,91.8,MoA in negotiation
RIO Dibrugarh,Dibrugarh,Assam,27.48,95.0,MoA in negotiation
PSK Lab/Camps,Bengaluru,Karnataka,12.97,77.59,MoA in process
"Sunrise Hospital, Kannur",Kannur,Kerala,11.89,75.37,MoA in process
"Jyothis Eye Care Hospital, Kannur",Kannur,Kerala,11.89,75.37,MoA in process
"Comptrust Hospital, Calicut",Kozhikode,Kerala,11.25,75.79,MoA in process
"Chandrakanth Eye Hospital, Calicut",Kozhikode,Kerala,11.27,75.79,MoA in process
"Sreekanth Eye Care and Research Centre, Thalassery",Thalassery,Kerala,11.75,75.49,MoA in process
"Dr. Sreeni Edakhlon's Malhaari Eye Care, Thalassery",Thalassery,Kerala,11.75,75.49,MoA in process
"Karuna Eye Hospital, Wayanad",Wayanad,Kerala,11.66,76.25,MoA in process
"Puthalath Eye Hospital, Kozhikode",Kozhikode,Kerala,11.253,75.797,MoA in process
"GEMS, Srikakulam Andhra Pradesh",Srikakulam,Andhra Pradesh,18.35,83.9,MoA in process
"RP Centre, AIIMS Delhi",New Delhi,Delhi,28.567,77.21,MoA signed
"Trilokpuri Community Centre, AIIMS Delhi",New Delhi,Delhi,28.567,77.21,MoA signed
AIIMS Nagpur,Nagpur,Maharashtra,21.038,79.024,MoA in process
AIIMS Raipur,Raipur,Chhattisgarh,21.246,81.564,MoA in process
BMCRI Bengaluru,Bengaluru,Karnataka,12.959,77.5747,MoA in process
AIIMS Rishikesh,Rishikesh,Uttarakhand,30.078,78.286,MoA in process
RIO Ahmedabad,Ahmedabad,Gujarat,23.045,72.605,MoA in process
JJMMC Davangere,Davangere,Karnataka,14.45,75.92,MoA in negotiation
